sentence	sentence_id	locale	reason
أنتهيت من فطورك ؟	6ac948348805c1d076b7411f487ca7430ffdfdec457f6542c7a4d8d7f50c57fe	ar	grammar-or-spelling
أعمى مع الغضب ، واندفع في	300975a8796c8263351e08f13890b03ce7eba3f67196710e37f3fe3147a13ae4	ar	grammar-or-spelling
بلغها أن تعاود الإتصال بي من فضلك.	2ba533b9a7837446129b7f69a4e74ee82b512a1f4962685cc20a081f600bece2	ar	?? ???? ?? ?????? ????? ????
يقول الأميركيون البنزين والبريطانيون يقولون البنزين	77e42d831fa93babd615b0b5ac2f911e339972d3523edda217b56f771787a627	ar	grammar-or-spelling
المال ، اذا استخدم بحكمة ، يفعل الكثير.	e6b5b9692f9daf35efcb0b83fcf0796fa9dc57a1ee9ea403c51bde7e427b7e8d	ar	grammar-or-spelling
.تزداد الحوادث سنةً بعد سنة	f8922d63aa4bc2212326d6cd1051d0dc74828fe513d704958233243c66354011	ar	different-language
أنا لا أخبرك أي شئ.	deca6333a07d78d0340548310d459c02ccfad799e4245d3633b8aeff00cefa37	ar	difficult-pronounce
خيبت أملي.	26653b679ce952804ea05723da84e236dabb96c67be2d59b07afb69cc5999512	ar	offensive-language
خيبت أملي.	26653b679ce952804ea05723da84e236dabb96c67be2d59b07afb69cc5999512	ar	grammar-or-spelling
بعد كل شيء ، كان مجرد خطأ في الحكم	81ae255118c174248216680ba593bc25be9037f7002774602c51133490829c33	ar	grammar-or-spelling
بعد كل شيء ، كان مجرد خطأ في الحكم	81ae255118c174248216680ba593bc25be9037f7002774602c51133490829c33	ar	no sound
.إنه قلق بسبب مرض والده	db97b1613d7b338575c32767cc187c4cf273db736b393e0dba7df5816d623889	ar	offensive-language
لم تعد إليّ نقودي.	e74241dba7259f687395733fee753df15a34b46314164c8d7ee261757b1687d9	ar	offensive-language
لم تعد إليّ نقودي.	e74241dba7259f687395733fee753df15a34b46314164c8d7ee261757b1687d9	ar	grammar-or-spelling
لم تعد إليّ نقودي.	e74241dba7259f687395733fee753df15a34b46314164c8d7ee261757b1687d9	ar	different-language
.أنجزت المهمة بقوة إرادتها	e0e64eb5ea044089f87139a19b3086a99b1c549ab49b5260d3d3b480c56121b7	ar	grammar-or-spelling
لنكولن رجل عظيم.	ff78bafc881dac139f8668605e8cce3e2620e52a670db98dc6d2def445f1cb33	ar	difficult-pronounce
تتويبا: انضم إلى جانب الشر المظلم. بالمناسبة لدينا بسكويت بالشوكولاتة .	fe5ca5d4839143bf140cce6f3989c018f2a8322f6b28b7f7a6e52c120fc581da	ar	difficult-pronounce
تتويبا: انضم إلى جانب الشر المظلم. بالمناسبة لدينا بسكويت بالشوكولاتة .	fe5ca5d4839143bf140cce6f3989c018f2a8322f6b28b7f7a6e52c120fc581da	ar	grammar-or-spelling
تصدرت صور التوابيت المغطاة بالأعلام صفحات الجرائد.	088fd31a8fe157d8e6101923abd3d9e4e43101d71e96c8b1b715e394cfd8d07c	ar	difficult-pronounce
عليّ الذهاب إلى النوم.	f1b97e89140fbe563fa02e5ca4b03834f36d7dec7267bf681f315df9a613ed82	ar	grammar-or-spelling
تعد أمي كعكة لأبي.	fe988c8dfebc6284c4258928df0f8b24799cc4f4963318ad839ad3b4ffca1743	ar	grammar-or-spelling
عصفور باليد خير من عشرة على الشجرة	051c3df5dcff0021f163de6bd13c6934b398dac8722730f50237c77e6869f943	ar	grammar-or-spelling
.ركب توم السيارة	07b444c987bcfeb4011d5a3cbea1c0ef1d902564dbcef93b14049c40d9a54e4b	ar	different-language
لما لم تأتي ؟	1fce6de841cab0553dd9111c7f4c1a202258787a9da58e05e5dda84b8af07c18	ar	grammar-or-spelling
الإنجليز أكثرهم محافظين.	3b8152709d3e65a5f955ae3a0994b54cf9bedd914e322d0188449546695bcded	ar	grammar-or-spelling
يبلغ عدد سكان اليابان حوالي مئة و عشرون مليون نسمة.	24c90349af7fd744336141fecc9744e6f7801df9265966ce6fbe1b8801b2ab03	ar	grammar-or-spelling
طلبت منه أن يبعث إلينا بالكتاب.	2fc5fdd83bacc8864baf545ca55cdfdf2a1002baf10246b14fc3975d9ac86e05	ar	grammar-or-spelling
