sentence	sentence_id	locale	reason
Господин Председатель, расписание мероприятий, который вы нам предлагаете, носит вполне уместный характер.	dce3d718c79d3dd94bd12275a44ccf12ff359d04488714255c8663371714ae84	ru	grammar-or-spelling
Необходимо, чтобы обладающие ядерным оружием.	e1dbe5de1b06bfc89ce7822e4f6f0f40b3eff4cacb8a6583d6f61af2fd3ceaca	ru	grammar-or-spelling
Господин Председатель, расписание мероприятий, который вы нам предлагаете, носит вполне уместный характер.	dce3d718c79d3dd94bd12275a44ccf12ff359d04488714255c8663371714ae84	ru	grammar-or-spelling
Необходимо, чтобы обладающие ядерным оружием.	e1dbe5de1b06bfc89ce7822e4f6f0f40b3eff4cacb8a6583d6f61af2fd3ceaca	ru	grammar-or-spelling
Мы открыты и готовы посмотреть все маршруты, которые приведут к преодолению затора.	c7be8bfa71e94ae8f331d657ac86bc80ced63c03f222878edb4eae59c18e07fa	ru	grammar-or-spelling
Швейцария стремится обеспечить принятие шагов по с целью оживления деятельности Конференции по разоружению.	d440446a96bbb25b1d4130f34daeeb5247316e22b1b88c1655c9a9b40e116c69	ru	grammar-or-spelling
Окончательный отчет об одна тысяча двухсотом пленарном заседании,.	d6de2f70f2dc5c0d299b5fcc41428f63a2353b005af17936f0424ff5401340f5	ru	grammar-or-spelling
Я поднял это вопрос и дал полное изложение своих взглядов.	c2632fb4cf8976a91be35bb177fb7b9d36f9adc5f623a0672db0cc265b81cf68	ru	grammar-or-spelling
Мы надеемся, что к нему присоединиться большее число соавторов, представляющих разные регионы.	c4e19777f82cccf8f7db522a39b200d8ad65d6b9bb95624eb7c72b1d209186f7	ru	grammar-or-spelling
Ядерное разоружение остается высочайшим приоритетом Корейской Народно-Демо-кратической Республики.	f1ffa36072c0c3aa8ce39443630d9348187ad19a9436f994e1f67c0f19b7b73a	ru	grammar-or-spelling
Господин Председатель, расписание мероприятий, который вы нам предлагаете, носит вполне уместный характер.	dce3d718c79d3dd94bd12275a44ccf12ff359d04488714255c8663371714ae84	ru	grammar-or-spelling
Мир стал свидетелем колоссального роста в космической технологии.	031cd8218587ce1fee5f3d7ac5b7f11e5517cb536fea0a0e936fb9258a45c61e	ru	grammar-or-spelling
Мы является представители различных национальностей, но принадлежим к единому роду человеческому.	01435023d45eb8f73608b757dde15150736ab2148387350c577a58f344700f23	ru	grammar-or-spelling
Как ранее в этом месяце отметил наш премьер-министр:	003b4c56b6ad369997d0bba46b20c03ab04d86b7f2e1d6218e10a75d914eeadf	ru	grammar-or-spelling
Как ранее в этом месяце отметил наш премьер-министр:	003b4c56b6ad369997d0bba46b20c03ab04d86b7f2e1d6218e10a75d914eeadf	ru	????????????? ???????????
Вопервых, в этом году проект резолюции посвящен переходному процессу в области безопасности.	0c37459c839ed35ba318573240fbb8e25a9a61e7b8d3583fcaacd24481ae6aa7	ru	grammar-or-spelling
Стремясь добиться этой безопасности, мы также не забываем и о необходимости охранять здоровья.	15e4518befa788ee3cb51ce8a41e32f3fd43190ce1c00c0c1e20e7968bd267bb	ru	grammar-or-spelling
